arose	arise
arisen	arise
awoke	awake
awoken	awake
awakened	awake
backslid	backslide
was	be
were	be
been	be
is	be
am	be
are	be
bore	bear
born	bear
borne	bear
became	become
began	begin
begun	begin
bent	bend
bade	bid
bidden	bid
bound	bind
bit	bite
bitten	bite
bled	bleed
blew	blow
blown	blow
broke	break
broken	break
bred	breed
brought	bring
built	build
burnt	burn
bought	buy
caught	catch
chose	choose
chosen	choose
clung	cling
clad	clothe
came	come
crept	creep
crossbred	crossbreed
dealt	deal
dug	dig
disproven	disprove
dove	dive
did	do
done	do
drew	draw
drawn	draW
dreamt	dream
drank	drink
drunk	drink
drove	drive
driven	drive
dwelt	dwell
ate	eat
eaten	eat
fell	fall
fed	feed
felt	feel
fought	fight
found	find
fled	flee
flew	fly
flown	fly
forbade	forbid
forbidden	forbid
forewent	forego
foregone	forego
foresaw	foresee
foreseen	foreseen
foretold	foretell
forgot	forget
forgave	forgive
forsook	forsake
froze	freeze
frozen	freeze
frostbit	frostbite
frostbitten	frostbite
got	get
gotten	get
gave	give
went	go
gone	go
ground	grind
grew	grow
grown	grow
hand-fed	hand-feed
handwrote	handwrite
handwritten	handwrite
hung	hang
had	have
heard	hear
hewn	hew
hid	hide
hidden	hide
held	hold
inbred	inbreed
inlaid	inlay
iterbred	interbreed
interwove	interweave
interwoven	interweave
interwound	interwind
kept	keep
knelt	kneel
knew	know
known	know
laid	lay
led	lead
leapt	leap
learnt	learn
left	leave
lent	lend
lay	lie
lain	lie
lit	light
lost	lose
made	make
meant	mean
met	meet
misdealt	misdeal
misdid	misdo
misdone	misdo
misheard	mishear
mislaid	mislay
misled	mislead
mislearnt	mislearn
misspoke	misspeak
misspoken	misspeak
misspent	misspend
mistook	mistake
mistaken	mistake
mistaught	misteach
misunderstood	misunderstand
miswrote	miswrite
miswritten	miswrite
outbred	outbreed
outdid	outdo
outdone	outdo
outgrew	outgrow
outgrown	outgrow
outran	outrun
outsell	outsold
outshone	outshine
outthought	outthink
overcame	overcome
overdid	overdo
overdone	overdid
overate	overeat
overpaid	overpay
oversaw	oversee
overseen	oversee
overslept	oversleep
overtook	overtake
partook	partake
paid	pay
pled	plead
prepaid	prepay
rebuilt	rebuild
redid	redo
redone	redo
regrew	regrow
regrown	regrow
remade	remake
reran	rerun
resold	resell
retook	retake
retaken	retake
retaught	reteach
retold	retell
rode	ride
rang	ring
rung	ring
rose	rise
ran	run
sawn	saw
said	say
saw	see
sought	seek
sold	sell
sent	send
shook	shake
shorn	shear
shone	shine
shat	shit
shot	shoot
shrank	shrink
shrunk	shrink
sang	sing
sung	sing
sank	sink
sunk	sink
sat	sit
slew	slay
slain	slay
slept	sleep
slid	slide
slung	sling
slunk	slink
smelt	smell
snuck	sneak
sown	sow
spoke	speak
spoken	speak
sped	speed
spelt	spell
spent	spend
spilt	spill
spun	spin
spat	spit
sprang	spring
sprung	spring
stood	stand
stole	steal
stolen	steal
stuck	stick
stung	sting
stunk	stink
stank	stink
strewn	strew
strode	stride
stridden	stride
struck	strike
stricken	strike
strung	string
strove	strive
sunburnt	sunburn
swore	swear
sworn	swear
swept	sweep
swollen	swell
swam	swim
swum	swim
swung	swing
took	take
taught	teach
tore	tear
torn	tear
told	tell
thought	think
threw	throw
thrown	throw
trod	tread
trodden	tread
typewrote	typewrite
typewritten	typewrite
unbent	unbend
unbound	unbind
underfed	underfeed
underwent	undergo
undergone	undergo
underlay	underlie
underlain	underlie
undersold	undersell
underspent	underspend
undesterstood	understand
undertook	undertake
undertake	undertook
underwrote	underwite
underwritten	underwrite
undid	undo
undone	undo
unwound	unwind
upheld	uphold
woke	wake
woken	wake
wore	wear
worn	wear
wove	weave
wedded	wed
wept	weep
won	win
wound	wind
withdrew	withdraw
withdrawn	withdraw
withheld	withhold
withstood	withstand
wrung	wring
wrote	write
written	write
